Gene.1,raw_pvalues,sidak,holm-sidak,holm,simes-hochberg,hommel,fdr_bh,fdr_by,fdr_tsbh,fdr_tsbky,fold change,is_interesting
1110032A13Rik,1.0466801197899894e-06,0.02259509170994467,0.019951079389732174,0.020152779026436456,0.020152779026436456,0.017237774892821335,8.851378937108606e-06,9.354586937041118e-05,4.170100074469257e-06,4.6896701401295315e-06,0.17092500000000044,False
1110032E23Rik,0.008608821557554394,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.021819340535020333,0.23059787564628653,0.01027962244487081,0.011560403244675508,0.10819999999999919,False
1110032F04Rik,0.5708500692302725,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.6684100848156906,1.0,0.3149042611632246,0.3541394892698549,0.025800000000002044,False
1110034A24Rik,7.575246077951269e-08,0.001652687847962464,0.001510347182516747,0.0015114888499336166,0.0015114888499336166,0.0013798310730988236,8.780188615456467e-07,9.279349388439637e-06,4.136560581048806e-07,4.65195182210356e-07,0.14808750000000082,False
1110034B05Rik,0.08161650987755541,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.14229451398725826,1.0,0.06703840922312461,0.07539100270045317,0.07647500000000029,False
1110034G24Rik,0.05161553161101185,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.09804481363431437,1.0,0.046191298275987724,0.05194646372756092,0.06774999999999931,False
1110036O03Rik,0.01073977052112993,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.02640500949542529,0.27906155487569695,0.01244004271488161,0.013989999237450266,0.10722500000000146,False
1110037F02Rik,0.0013557027419624711,0.9999999999998634,0.9999999989771811,1.0,0.9999724202693399,0.99997242026934,0.004500358051063759,0.04756207019902024,0.002120228224011582,0.0023843962530497513,0.08687500000000092,False
1110038D17Rik,0.5742325104442565,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.6716862305432229,1.0,0.31644773316226854,0.3558752688475101,0.021150000000002223,False
1110038F14Rik,0.7947421405432289,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.8522342912661528,1.0,0.40150831940714055,0.4515339063600065,-0.003100000000001657,False
1110049B09Rik,0.8229595233205151,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.8737788048433331,1.0,0.4116584641824304,0.4629486997751806,-0.009999999999998899,False
1110049F12Rik,0.4854291652199033,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.5903643138237769,1.0,0.2781349986858343,0.31278899186320713,-0.029450000000000642,False
1110051M20Rik,0.024290720363721836,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.0523839880633942,0.5536205984736868,0.024679371889541384,0.027754277202151983,-0.07952500000000029,False
1110054O05Rik,0.5257401579781693,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.6283959026414128,1.0,0.2960526059295724,0.33293902811484827,0.02699999999999747,False
1110057K04Rik,4.4476183001652274e-07,0.009664373577612517,0.008638443319815892,0.008675969018132309,0.008675969018132309,0.0076378949068737455,4.169761510695909e-06,4.4068158007564226e-05,1.964476146577917e-06,2.2092383782362155e-06,0.1728500000000004,False
1110057P08Rik,0.013004147730876233,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.0310085798518819,0.3277144251530214,0.01460889676832192,0.01642907981371496,-0.10102499999999992,False
1110058L19Rik,0.002024956206470913,1.0,0.9999999999999241,1.0,0.9999724202693399,0.99997242026934,0.006377458354001497,0.06740021982309824,0.0030045758684503505,0.003378928438742254,-0.10637500000000166,False
1110059E24Rik,0.011849928507566755,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.028669022937454873,0.3029887991170487,0.01350667455725204,0.015189527165401154,-0.11492500000000305,False
1110059G10Rik,0.6001655266407138,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.6935025957378309,1.0,0.32672595385184644,0.3674340956863863,-0.03360000000000074,False
1110059M19Rik,3.633860512444541e-05,0.5477263489813646,0.475520540523778,0.645337288405026,0.645337288405026,0.4198925822129667,0.00019461698378520125,0.00205681115584245,9.168879836035563e-05,0.00010311268606896532,-0.14957500000000046,False
1110065P20Rik,8.496235607302808e-05,0.8435833280498655,0.7698586387787655,1.0,0.9999724202693399,0.7862416430998018,0.0004080846997040405,0.004312846425604256,0.00019225863548685433,0.00021621293636208533,0.12037499999999923,False
1110067D22Rik,0.11123348523113552,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.18326289519518935,1.0,0.08633961084831293,0.09709702109661494,-0.07312499999999922,False
1190002A17Rik,3.7083553945355796e-05,0.5550237701923391,0.48212572689369915,0.6580105812063932,0.6580105812063932,0.4267575388031545,0.0001978786413482023,0.0020912820099870336,9.322544463242303e-05,0.00010484078947400722,0.17397500000000132,False
1190002H23Rik,0.38900277043135645,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.4979121118739154,1.0,0.23457851590780707,0.26380562622559034,-0.027825000000001765,False
1190002N15Rik,0.3475228403096985,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.45588529621879276,1.0,0.21477866005050245,0.2415388241981382,0.05297499999999822,False
1190003J15Rik,0.00089125492707974,0.9999999964955374,0.9999991116064231,1.0,0.9999724202693399,0.99997242026934,0.0031342488859375296,0.03312433451798918,0.0014766209429649354,0.0016605992712042821,-0.07782499999999715,False
1190003M12Rik,6.286110563003509e-17,2.4241719742690293e-12,2.405409205152864e-12,1.3618229923690802e-12,1.3618229923690802e-12,1.3588056592988384e-12,7.98007117111521e-15,8.433744624920335e-14,3.759605776838203e-15,4.228030655245273e-15,0.3828249999999995,True
1190005F20Rik,0.31644344801035723,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.42417355014686564,1.0,0.1998384845596889,0.22473719027176756,-0.04129999999999967,False
1190005I06Rik,0.00046669501491027407,0.9999625560072625,0.9994675120019508,1.0,0.9999724202693399,0.99997242026934,0.001791541077806933,0.018933916266271434,0.0008440386108266507,0.0009492008823826457,0.15322500000000083,False
1190007F08Rik,0.15922753051544472,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.24504744353007724,1.0,0.11544781550693403,0.12983193771313967,-0.05132500000000029,False
1190007I07Rik,0.012810913114705327,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.030621377981345465,0.32362227907515706,0.014426476541978511,0.01622393109470077,-0.13109999999999822,False
1200009F10Rik,0.33379869601559853,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.44223618272559884,1.0,0.20834823044187017,0.23430720069144198,-0.050499999999999545,False
1200009I06Rik,0.9134853361841109,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.9392960826738903,1.0,0.4425252485672686,0.4976613048605191,0.007937500000000597,False
1200009O22Rik,0.1276823806384635,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.2049657977680378,1.0,0.09656437653491207,0.1085957327519624,-0.04898749999999907,False
1200011I18Rik,0.9988854109471738,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.9991141982607209,1.0,0.4707070188920557,0.5293543588467507,-0.0028749999999977405,False
1200011M11Rik,0.008019765836803716,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.020550591133271814,0.2171890874062787,0.009681883718249011,0.010888189770711319,-0.08442499999999864,False
1200014J11Rik,0.9686903674729918,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.9781297293995624,1.0,0.46082072481489805,0.5182362903826296,-0.005124999999999602,False
1200014M14Rik,1.1074210915320078e-06,0.023890545567339938,0.021074902985820487,0.021300137274526638,0.021300137274526638,0.018182746901864034,9.293059005995921e-06,9.821376872498834e-05,4.378186306145181e-06,4.92368269854202e-06,-0.17850000000000055,False
